"시점","지수별",데이터
"2013.01","선행종합지수(2015=100)",89.8
"2013.01","선행종합지수 전월비(%)",0.2
"2013.01","재고순환지표(전월차)(%p)",-1.7
"2013.01","경제심리지수(전월차)(p)",1.0
"2013.01","기계류내수출하지수(선박제외)(전월비)(%)",-2.0
"2013.01","건설수주액(전월비)(%)",-7.7
"2013.01","수출입물가비율(전월비)(%)",0.3
"2013.01","코스피(전월비)(%)",0.8
"2013.01","장단기금리차(전월차)(%p)",0.02
"2013.01","선행지수 순환변동치",99.3
"2013.01","〔순환변동치 전월차〕(p)",-0.1
"2013.01","선행지수 전년동월비(%)",2.5
"2013.01","〔전년동월비 전월차〕(%p)",0.0
"2013.01","동행종합지수(2015=100)",92.1
"2013.01","동행종합지수 전월비(%)",0.1
"2013.01","광공업생산지수(전월비)(%)",0.3
"2013.01","서비스업생산지수(도소매업제외)(전월비)(%)",0.1
"2013.01","건설기성액(전월비)(%)",0.1
"2013.01","소매판매액지수(전월비)(%)",0.2
"2013.01","내수출하지수(전월비)(%)",0.0
"2013.01","수입액(전월비)(%)",0.0
"2013.01","비농림어업취업자수(전월비)(%)",0.0
"2013.01","동행지수 순환변동치",100.0
"2013.01","〔순환변동치 전월차〕(p)",-0.1
"2013.01","후행종합지수(2015=100)",92.2
"2013.01","후행종합지수 전월비(%)",0.3
"2013.01","생산자제품재고지수(전월비)(%)",2.7
"2013.01","소비자물가지수변화율(서비스)(전월차)(%p)",0.1
"2013.01","소비재수입액(전월비)(%)",1.3
"2013.01","취업자수(전월비)(%)",-0.1
"2013.01","CP유통수익률(전월차)(%p)",0.0
"2013.02","선행종합지수(2015=100)",90.1
"2013.02","선행종합지수 전월비(%)",0.3
"2013.02","재고순환지표(전월차)(%p)",-2.2
"2013.02","경제심리지수(전월차)(p)",1.8
"2013.02","기계류내수출하지수(선박제외)(전월비)(%)",-0.5
"2013.02","건설수주액(전월비)(%)",3.4
"2013.02","수출입물가비율(전월비)(%)",0.2
"2013.02","코스피(전월비)(%)",1.3
"2013.02","장단기금리차(전월차)(%p)",-0.01
"2013.02","선행지수 순환변동치",99.4
"2013.02","〔순환변동치 전월차〕(p)",0.1
"2013.02","선행지수 전년동월비(%)",2.7
"2013.02","〔전년동월비 전월차〕(%p)",0.2
"2013.02","동행종합지수(2015=100)",92.4
"2013.02","동행종합지수 전월비(%)",0.3
"2013.02","광공업생산지수(전월비)(%)",-0.3
"2013.02","서비스업생산지수(도소매업제외)(전월비)(%)",0.6
"2013.02","건설기성액(전월비)(%)",0.7
"2013.02","소매판매액지수(전월비)(%)",-0.1
"2013.02","내수출하지수(전월비)(%)",-0.3
"2013.02","수입액(전월비)(%)",1.2
"2013.02","비농림어업취업자수(전월비)(%)",0.0
"2013.02","동행지수 순환변동치",100.0
"2013.02","〔순환변동치 전월차〕(p)",0.0
"2013.02","후행종합지수(2015=100)",92.5
"2013.02","후행종합지수 전월비(%)",0.3
"2013.02","생산자제품재고지수(전월비)(%)",0.6
"2013.02","소비자물가지수변화율(서비스)(전월차)(%p)",0.1
"2013.02","소비재수입액(전월비)(%)",1.6
"2013.02","취업자수(전월비)(%)",-0.1
"2013.02","CP유통수익률(전월차)(%p)",0.0
"2013.03","선행종합지수(2015=100)",90.4
"2013.03","선행종합지수 전월비(%)",0.3
"2013.03","재고순환지표(전월차)(%p)",-1.4
"2013.03","경제심리지수(전월차)(p)",2.3
"2013.03","기계류내수출하지수(선박제외)(전월비)(%)",-1.1
"2013.03","건설수주액(전월비)(%)",3.1
"2013.03","수출입물가비율(전월비)(%)",0.6
"2013.03","코스피(전월비)(%)",0.3
"2013.03","장단기금리차(전월차)(%p)",-0.09
"2013.03","선행지수 순환변동치",99.4
"2013.03","〔순환변동치 전월차〕(p)",0.0
"2013.03","선행지수 전년동월비(%)",2.8
"2013.03","〔전년동월비 전월차〕(%p)",0.1
"2013.03","동행종합지수(2015=100)",92.4
"2013.03","동행종합지수 전월비(%)",0.0
"2013.03","광공업생산지수(전월비)(%)",-0.8
"2013.03","서비스업생산지수(도소매업제외)(전월비)(%)",0.4
"2013.03","건설기성액(전월비)(%)",0.0
"2013.03","소매판매액지수(전월비)(%)",-0.4
"2013.03","내수출하지수(전월비)(%)",-1.5
"2013.03","수입액(전월비)(%)",1.1
"2013.03","비농림어업취업자수(전월비)(%)",0.1
"2013.03","동행지수 순환변동치",99.7
"2013.03","〔순환변동치 전월차〕(p)",-0.3
"2013.03","후행종합지수(2015=100)",92.7
"2013.03","후행종합지수 전월비(%)",0.2
"2013.03","생산자제품재고지수(전월비)(%)",-0.9
"2013.03","소비자물가지수변화율(서비스)(전월차)(%p)",0.2
"2013.03","소비재수입액(전월비)(%)",-0.5
"2013.03","취업자수(전월비)(%)",0.1
"2013.03","CP유통수익률(전월차)(%p)",0.0
"2013.04","선행종합지수(2015=100)",90.7
"2013.04","선행종합지수 전월비(%)",0.3
"2013.04","재고순환지표(전월차)(%p)",0.4
"2013.04","경제심리지수(전월차)(p)",1.1
"2013.04","기계류내수출하지수(선박제외)(전월비)(%)",-1.1
"2013.04","건설수주액(전월비)(%)",6.1
"2013.04","수출입물가비율(전월비)(%)",0.5
"2013.04","코스피(전월비)(%)",-0.8
"2013.04","장단기금리차(전월차)(%p)",-0.07
"2013.04","선행지수 순환변동치",99.4
"2013.04","〔순환변동치 전월차〕(p)",0.0
"2013.04","선행지수 전년동월비(%)",2.9
"2013.04","〔전년동월비 전월차〕(%p)",0.1
"2013.04","동행종합지수(2015=100)",92.7
"2013.04","동행종합지수 전월비(%)",0.3
"2013.04","광공업생산지수(전월비)(%)",-0.5
"2013.04","서비스업생산지수(도소매업제외)(전월비)(%)",0.4
"2013.04","건설기성액(전월비)(%)",3.6
"2013.04","소매판매액지수(전월비)(%)",-0.1
"2013.04","내수출하지수(전월비)(%)",-1.0
"2013.04","수입액(전월비)(%)",1.2
"2013.04","비농림어업취업자수(전월비)(%)",0.3
"2013.04","동행지수 순환변동치",99.8
"2013.04","〔순환변동치 전월차〕(p)",0.1
"2013.04","후행종합지수(2015=100)",93.0
"2013.04","후행종합지수 전월비(%)",0.3
"2013.04","생산자제품재고지수(전월비)(%)",-1.4
"2013.04","소비자물가지수변화율(서비스)(전월차)(%p)",0.1
"2013.04","소비재수입액(전월비)(%)",0.9
"2013.04","취업자수(전월비)(%)",0.4
"2013.04","CP유통수익률(전월차)(%p)",0.0
"2013.05","선행종합지수(2015=100)",91.0
"2013.05","선행종합지수 전월비(%)",0.3
"2013.05","재고순환지표(전월차)(%p)",1.1
"2013.05","경제심리지수(전월차)(p)",0.3
"2013.05","기계류내수출하지수(선박제외)(전월비)(%)",-1.0
"2013.05","건설수주액(전월비)(%)",-4.7
"2013.05","수출입물가비율(전월비)(%)",0.8
"2013.05","코스피(전월비)(%)",-0.1
"2013.05","장단기금리차(전월차)(%p)",0.02
"2013.05","선행지수 순환변동치",99.4
"2013.05","〔순환변동치 전월차〕(p)",0.0
"2013.05","선행지수 전년동월비(%)",3.0
"2013.05","〔전년동월비 전월차〕(%p)",0.1
"2013.05","동행종합지수(2015=100)",93.0
"2013.05","동행종합지수 전월비(%)",0.3
"2013.05","광공업생산지수(전월비)(%)",-0.1
"2013.05","서비스업생산지수(도소매업제외)(전월비)(%)",-0.1
"2013.05","건설기성액(전월비)(%)",1.5
"2013.05","소매판매액지수(전월비)(%)",0.0
"2013.05","내수출하지수(전월비)(%)",-0.6
"2013.05","수입액(전월비)(%)",0.4
"2013.05","비농림어업취업자수(전월비)(%)",0.4
"2013.05","동행지수 순환변동치",99.8
"2013.05","〔순환변동치 전월차〕(p)",0.0
"2013.05","후행종합지수(2015=100)",93.2
"2013.05","후행종합지수 전월비(%)",0.2
"2013.05","생산자제품재고지수(전월비)(%)",-0.7
"2013.05","소비자물가지수변화율(서비스)(전월차)(%p)",0.1
"2013.05","소비재수입액(전월비)(%)",-0.4
"2013.05","취업자수(전월비)(%)",0.5
"2013.05","CP유통수익률(전월차)(%p)",0.0
"2013.06","선행종합지수(2015=100)",91.4
"2013.06","선행종합지수 전월비(%)",0.4
"2013.06","재고순환지표(전월차)(%p)",0.3
