"시점","지표선택별",데이터
"2013.01","경제심리지수(원계열)",94.5
"2013.01","경제심리지수(순환변동치)",94.1
"2013.02","경제심리지수(원계열)",96.3
"2013.02","경제심리지수(순환변동치)",94.4
"2013.03","경제심리지수(원계열)",98.3
"2013.03","경제심리지수(순환변동치)",94.8
"2013.04","경제심리지수(원계열)",97.9
"2013.04","경제심리지수(순환변동치)",95.2
"2013.05","경제심리지수(원계열)",97.3
"2013.05","경제심리지수(순환변동치)",95.7
"2013.06","경제심리지수(원계열)",96.4
"2013.06","경제심리지수(순환변동치)",96.2
"2013.07","경제심리지수(원계열)",95.7
"2013.07","경제심리지수(순환변동치)",96.8
"2013.08","경제심리지수(원계열)",95.5
"2013.08","경제심리지수(순환변동치)",97.3
"2013.09","경제심리지수(원계열)",96.1
"2013.09","경제심리지수(순환변동치)",97.9
"2013.10","경제심리지수(원계열)",97.7
"2013.10","경제심리지수(순환변동치)",98.4
"2013.11","경제심리지수(원계열)",97.8
"2013.11","경제심리지수(순환변동치)",98.8
"2013.12","경제심리지수(원계열)",97.7
"2013.12","경제심리지수(순환변동치)",99.1
"2014.01","경제심리지수(원계열)",100.2
"2014.01","경제심리지수(순환변동치)",99.3
"2014.02","경제심리지수(원계열)",102.3
"2014.02","경제심리지수(순환변동치)",99.3
"2014.03","경제심리지수(원계열)",100.8
"2014.03","경제심리지수(순환변동치)",99.2
"2014.04","경제심리지수(원계열)",102.1
"2014.04","경제심리지수(순환변동치)",99.0
"2014.05","경제심리지수(원계열)",100.6
"2014.05","경제심리지수(순환변동치)",98.8
"2014.06","경제심리지수(원계열)",97.3
"2014.06","경제심리지수(순환변동치)",98.6
"2014.07","경제심리지수(원계열)",95.4
"2014.07","경제심리지수(순환변동치)",98.5
"2014.08","경제심리지수(원계열)",97.5
"2014.08","경제심리지수(순환변동치)",98.5
"2014.09","경제심리지수(원계열)",100.2
"2014.09","경제심리지수(순환변동치)",98.5
"2014.10","경제심리지수(원계열)",95.7
"2014.10","경제심리지수(순환변동치)",98.5
"2014.11","경제심리지수(원계열)",97.2
"2014.11","경제심리지수(순환변동치)",98.6
"2014.12","경제심리지수(원계열)",96.2
"2014.12","경제심리지수(순환변동치)",98.6
"2015.01","경제심리지수(원계열)",97.8
"2015.01","경제심리지수(순환변동치)",98.7
"2015.02","경제심리지수(원계열)",102.3
"2015.02","경제심리지수(순환변동치)",98.7
"2015.03","경제심리지수(원계열)",100.7
"2015.03","경제심리지수(순환변동치)",98.5
"2015.04","경제심리지수(원계열)",103.0
"2015.04","경제심리지수(순환변동치)",98.3
"2015.05","경제심리지수(원계열)",101.5
"2015.05","경제심리지수(순환변동치)",97.9
"2015.06","경제심리지수(원계열)",91.5
"2015.06","경제심리지수(순환변동치)",97.4
"2015.07","경제심리지수(원계열)",95.2
"2015.07","경제심리지수(순환변동치)",97.0
"2015.08","경제심리지수(원계열)",96.6
"2015.08","경제심리지수(순환변동치)",96.7
"2015.09","경제심리지수(원계열)",96.2
"2015.09","경제심리지수(순환변동치)",96.3
"2015.10","경제심리지수(원계열)",96.8
"2015.10","경제심리지수(순환변동치)",95.9
"2015.11","경제심리지수(원계열)",96.6
"2015.11","경제심리지수(순환변동치)",95.4
"2015.12","경제심리지수(원계열)",93.6
"2015.12","경제심리지수(순환변동치)",94.9
"2016.01","경제심리지수(원계열)",93.5
"2016.01","경제심리지수(순환변동치)",94.4
"2016.02","경제심리지수(원계열)",92.3
"2016.02","경제심리지수(순환변동치)",94.1
"2016.03","경제심리지수(원계열)",93.9
"2016.03","경제심리지수(순환변동치)",94.0
"2016.04","경제심리지수(원계열)",96.6
"2016.04","경제심리지수(순환변동치)",94.2
"2016.05","경제심리지수(원계열)",94.9
"2016.05","경제심리지수(순환변동치)",94.5
"2016.06","경제심리지수(원계열)",94.6
"2016.06","경제심리지수(순환변동치)",95.0
"2016.07","경제심리지수(원계열)",95.8
"2016.07","경제심리지수(순환변동치)",95.5
"2016.08","경제심리지수(원계열)",97.7
"2016.08","경제심리지수(순환변동치)",96.0
"2016.09","경제심리지수(원계열)",97.3
"2016.09","경제심리지수(순환변동치)",96.3
"2016.10","경제심리지수(원계열)",96.0
"2016.10","경제심리지수(순환변동치)",96.5
"2016.11","경제심리지수(원계열)",95.5
"2016.11","경제심리지수(순환변동치)",96.7
"2016.12","경제심리지수(원계열)",94.0
"2016.12","경제심리지수(순환변동치)",97.0
"2017.01","경제심리지수(원계열)",95.9
