"에너지원별(1)",에너지원별(2),에너지원별(3),2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"에너지원별(1)",에너지원별(2),에너지원별(3),전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"신·재생에너지 합계①+② (toe)",소계,소계,4879211,94832,87253,52830,137669,40942,39154,548033,711064,496892,461140,67860,180314,1445177,276560,211460,28031,5225192,153150,91704,58761,152282,41940,41002,588964,750215,587303,462338,58729,209953,1480811,296838,222100,29102,5608766,188210,98489,96530,219118,38553,39649,622805,708689,610641,479951,67687,257371,1528163,406607,218310,28006,5858481,183290,87396,86237,300291,37045,44920,626670,816367,708582,451786,75912,250188,1572758,359428,219378,38233,6086249,207120,83026,111343,253990,34881,40678,625730,921315,714569,452672,104888,252895,1602126,421930,207633,51459,6856284,223768,92586,169899,316373,39421,46229,458542,988658,762062,534461,100514,374118,1690582,739859,260951,58258,7582846,255549,108774,205730,276398,31623,50894,570224,1045031,795984,770462,162165,361483,1495364,1108113,284925,60127,8850739,232626,107135,158269,292990,37050,47917,855989,1243993,853413,648513,872976,380717,1613010,1063652,376869,65627,9879207,238239,116954,141952,291540,58771,48475,1126081,36676,1370155,1064857,667341,936507,539372,1456792,1258441,446439,80616,11537365,293656,139791,193380,430139,74518,57965,711388,41022,1448818,1012540,526171,1510984,536553,1177210,2385732,781166,216332,13292989,335139,145572,182520,628330,67589,66705,698215,61940,1402763,1105800,441035,1579335,555104,3059991,1888628,706898,367424,14178408,316806,135772,181857,469248,70215,86763,1176787,84701,1514251,902963,568359,1840831,658316,3034387,2043004,667176,426972,16448386,350881,237439,179157,387826,73199,113837,1343421,65440,1634364,1237810,806869,2231254,1158329,3229557,2345138,679023,374842,18054339,388944,266102,193941,416566,83949,135462,1034251,77399,1856951,1400396,873924,2511407,1551001,3465666,2545246,782536,470597,16513186,361289,251625,179565,481195,88033,125785,828858,71492,1724994,1304394,736130,2190277,1689175,2851645,2273359,689455,665916,12361793,303074,189361,149718,488712,97525,84999,493456,73797,1550879,1306113,719610,1764416,1760307,1223362,924699,650633,581131
"신·재생에너지 합계①+② (toe)",① 재생에너지 합,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11337996,281706,131785,186584,423151,73878,57915,706186,41022,1321542,1012485,526165,1507878,533261,1162313,2374640,781152,216332,13061531,298174,140254,172794,609805,67066,66658,693351,61940,1274755,1105757,441031,1573341,552573,3044508,1885217,706884,367424,13860689,278669,129365,170946,445399,69668,86698,1172800,84701,1389488,902920,568332,1759599,657908,3009490,2040608,667125,426972,15861222,281192,198505,170258,362574,72653,113751,1338989,65440,1501523,1237768,806807,1951392,1158140,3206710,2341744,678934,374842,17315508,320512,210399,185033,372292,83402,135367,1030664,77396,1706019,1400313,873852,2134555,1550141,3439646,2542916,782402,470597,15806341,301370,198758,172349,361246,87436,125035,826305,71481,1555927,1304192,736033,1939452,1688114,2813219,2270547,688960,665916,11104564,230259,150063,147980,285575,96773,83089,490441,65332,1288235,1295621,719467,1160415,1758460,1187548,917781,646435,581088
"신·재생에너지 합계①+② (toe)",② 신에너지 합,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,199369,11949,8006,6796,6988,639,50,5202,-,127277,56,6,3106,3292,14897,11092,13,-,231458,36965,5318,9726,18525,522,47,4864,-,128009,44,5,5995,2531,15483,3411,14,-,317720,38137,6406,10911,23850,547,65,3987,-,124763,43,27,81232,409,24897,2396,51,-,587164,69689,38933,8899,25253,547,86,4432,-,132842,42,62,279861,189,22847,3394,89,-,738831,68432,55703,8908,44274,547,95,3587,3,150932,83,72,376852,860,26019,2330,134,-,706845,59919,52867,7216,119948,597,750,2554,11,169067,202,96,250825,1062,38426,2811,494,-,1257229,72814,39297,1739,203137,752,1910,3015,8465,262644,10492,143,604000,1847,35813,6918,4198,44
"신·재생에너지 지역별 공급비중 (%)",소계,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,2.55,1.21,1.68,3.73,0.65,0.50,6.17,0.36,12.56,8.78,4.56,13.10,4.65,10.20,20.68,6.77,1.88,100.00,2.52,1.10,1.37,4.73,0.51,0.50,5.25,0.47,10.55,8.32,3.32,11.88,4.18,23.02,14.21,5.32,2.76,100.00,2.23,0.96,1.28,3.31,0.50,0.61,8.30,0.60,10.68,6.37,4.01,12.98,4.64,21.40,14.41,4.71,3.01,100.00,2.13,1.44,1.09,2.36,0.45,0.69,8.17,0.40,9.94,7.53,4.91,13.57,7.04,19.63,14.26,4.13,2.28,100.00,2.15,1.47,1.07,2.31,0.46,0.75,5.73,0.43,10.29,7.76,4.84,13.91,8.59,19.20,14.10,4.33,2.61,100.00,2.19,1.52,1.09,2.91,0.53,0.76,5.02,0.43,10.45,7.90,4.46,13.26,10.23,17.27,13.77,4.18,4.03,100.00,2.45,1.53,1.21,3.95,0.79,0.69,3.99,0.60,12.55,10.57,5.82,14.27,14.24,9.90,7.48,5.26,4.70
"① 재생에너지",태양열 (toe),소계,34729,3043,757,1609,1175,1247,1454,802,8534,1772,1884,3205,2158,1871,1776,2604,837,33018,2886,680,1513,1090,1285,1447,816,7864,1695,1812,3063,2024,1854,1714,2505,770,29375,2476,606,1331,989,1150,1306,643,6856,1531,1605,2762,1802,1769,1553,2297,698,28036,2211,584,1351,918,1113,1205,654,6192,1744,1479,2609,1699,1745,1557,2291,683,30669,2077,704,1605,983,1174,1242,691,6180,2509,1498,2770,1751,2015,1890,2872,708,29257,1659,832,1643,964,1024,1026,555,5064,2891,1355,2586,1572,2018,2152,3297,618,27435,1333,965,1546,940,834,812,442,4187,3021,1286,2490,1417,1944,2365,3319,531,26259,1109,1050,1427,854,706,816,372,3559,3185,1151,2553,1206,1994,2554,3268,456,27812,1076,1068,1395,844,751,951,436,12,3632,3406,1222,2812,1254,2195,2786,3533,440,28485,1043,1047,1324,832,764,970,444,24,3490,3419,1297,2873,1278,2361,3118,3755,446,28469,976,1026,1262,806,734,936,437,103,3260,3358,1272,2755,1287,2489,3426,3880,462,28495,920,985,1188,765,711,892,431,120,3207,3322,1244,2674,1309,2688,3603,3976,461,28121,836,935,1106,724,686,827,413,132,3089,3247,1242,2601,1309,2777,3757,4002,437,27395,775,883,1022,696,654,768,385,127,2887,3146,1194,2513,1300,2803,3881,3963,401,26912,705,824,935,665,632,708,357,122,2696,3037,1215,2418,1289,2935,4023,3982,370,26390,630,777,845,618,592,631,332,116,2478,2896,1330,2302,1255,3103,4187,3956,340
"① 재생에너지",태양광 (toe),소계,3600,188,89,260,152,467,176,84,299,305,104,211,141,411,193,329,190,7756,392,138,391,296,765,258,142,715,636,309,474,357,1629,406,550,296,15325,653,262,551,581,929,305,213,1503,962,667,835,871,4282,1367,964,381,61128,1072,534,808,720,1401,392,412,2755,1299,1140,4250,8770,25120,8565,3311,579,121731,1947,820,1099,882,2120,588,666,4296,2159,2232,8415,19975,45380,22846,7031,1273,166152,2799,1152,1391,1163,2277,826,906,6078,4202,4568,11041,28101,53612,33595,12385,2057,197198,4462,1534,1942,1605,3112,1127,1170,8369,5290,6161,13272,32822,58894,38667,16313,2456,237543,5804,2678,2481,3320,3999,1774,1678,12125,8450,9777,16741,37672,63291,42905,21776,3071,344451,7011,11785,4419,4879,5583,2755,2159,97,17731,10824,13801,22824,58677,92308,51841,32957,4799,547430,11813,14739,7634,8399,8566,4920,3139,1682,34422,29326,23034,39385,95160,141931,62409,50489,10383,849379,16676,19550,10829,11229,18392,6317,4861,4841,50654,40410,36518,78230,153523,215645,90121,71586,19996,1092832,19355,20937,13413,12865,21297,7496,5403,7272,64728,51642,50619,122380,198152,268424,120053,84722,24074,1516349,23664,25456,16669,18643,28783,9531,8602,8611,87323,82657,78129,177876,257182,359811,179136,117552,36724,2193980,36471,35386,24076,27859,40764,14656,16609,13078,165349,151306,120657,256274,352618,449997,263064,176512,49303,3055183,45283,42784,31478,34452,54160,17612,20921,15142,234410,227128,173343,372627,501099,593353,367634,245259,78498,4155969,51484,49896,37300,41477,62948,20156,27195,18643,310544,302731,240147,531764,693752,849985,497060,315377,105509
"① 재생에너지",태양광 (toe),사업용,149,0,0,0,0,0,0,0,0,7,0,11,0,68,52,9,0,1417,1,0,9,62,38,0,0,3,113,10,42,28,993,75,29,13,5530,12,1,27,263,7,-,13,165,269,33,66,182,3385,880,173,54,46507,37,42,36,306,280,2,59,578,415,179,3102,7745,23825,7810,1920,173,101049,118,120,92,306,842,60,100,1233,1059,842,6936,18667,43587,21586,4702,799,137032,110,249,151,362,753,92,137,1701,2805,2401,9080,26328,51153,31742,8573,1396,158095,920,326,393,475,1273,119,244,2318,3572,2965,10651,30498,55605,36155,11037,1544,179899,1209,870,406,1118,1591,273,291,3272,5795,4739,12707,34336,58301,39052,14197,1742,274755,1990,9856,1990,2233,2909,1059,648,11,7767,7596,7536,18039,51768,86493,47375,24510,2975,449975,4245,12114,4292,4276,5084,2166,918,1274,20213,24291,13652,32408,89214,133065,56121,39089,7553,731025,6357,16282,6995,6176,14564,2905,2036,3594,33150,34317,25089,70381,146480,205263,82384,58396,16658,947609,6839,16600,8558,6879,17004,3558,2417,5486,42556,43907,36268,112457,189775,256324,110368,68740,19872,1325013,7488,19371,10188,10474,23471,4407,4517,5775,57452,72201,59428,164604,246221,344456,166324,97354,31283,1750684,8171,21064,12509,13949,30256,5728,7827,8234,93729,125213,84883,222645,320392,406604,227152,124118,38210,2504790,8347,24885,17504,17443,41662,6798,10171,9365,146449,194068,129008,329695,460649,540329,323576,180834,64006,3504379,9283,29128,21278,21107,48889,7852,15002,12063,208241,262761,186563,478113,643274,786638,443730,242378,88079
"① 재생에너지",태양광 (toe),자가용,3451,188,89,260,152,467,176,84,298,298,104,201,141,343,140,320,190,6339,391,138,382,233,727,258,142,712,523,300,432,329,636,332,521,283,9795,641,261,524,318,922,305,200,1338,694,633,769,689,897,487,791,327,14620,1036,492,772,413,1121,390,353,2177,884,961,1148,1025,1294,756,1391,407,20682,1829,700,1007,576,1279,527,566,3063,1100,1391,1479,1308,1793,1261,2330,474,29120,2689,903,1240,801,1524,735,770,4377,1397,2166,1961,1773,2458,1853,3811,662,39102,3542,1209,1549,1130,1839,1009,926,6051,1718,3196,2621,2324,3289,2513,5276,912,57644,4595,1808,2075,2202,2408,1501,1387,8853,2655,5038,4034,3336,4990,3853,7579,1329,69696,5021,1929,2429,2647,2674,1696,1510,86,9964,3228,6265,4785,6908,5815,4466,8446,1825,97455,7568,2625,3342,4123,3481,2753,2220,408,14209,5035,9382,6977,5946,8866,6287,11400,2831,118354,10319,3269,3834,5053,3828,3413,2825,1247,17504,6093,11429,7849,7043,10382,7737,13190,3338,145223,12516,4337,4855,5986,4293,3938,2986,1786,22172,7735,14351,9924,8377,12100,9685,15982,4202,191336,16176,6084,6481,8169,5313,5124,4085,2836,29871,10456,18701,13272,10962,15355,12812,20198,5441,443296,28300,14322,11567,13910,10508,8927,8783,4844,71620,26093,35774,33629,32226,43393,35912,52394,11093,550393,36936,17900,13974,17009,12497,10814,10750,5777,87961,33059,44335,42932,40451,53024,44058,64425,14491,651590,42201,20768,16022,20370,14060,12304,12193,6580,102303,39970,53584,53651,50478,63347,53330,73000,17430
